Training_file,Testing_file,Perplexity,N
udhr-als.txt.tra,udhr-als.txt.dev,7.7493657705729655,3
udhr-amc.txt.tra,udhr-amc.txt.dev,10.799001789289417,3
udhr-bcl.txt.tra,udhr-bcl.txt.dev,6.979291066566652,3
udhr-blu.txt.tra,udhr-blu.txt.dev,6.508632832874858,3
udhr-bre.txt.tra,udhr-bre.txt.dev,6.830375229385247,3
udhr-ccx.txt.tra,udhr-ccx.txt.dev,9.521282010216632,3
udhr-cha.txt.tra,udhr-cha.txt.dev,7.184094928674956,3
udhr-cjk.txt.tra,udhr-cjk.txt.dev,6.082317022340357,3
udhr-cjk_AO.txt.tra,udhr-cjk_AO.txt.dev,4.947688471803362,3
udhr-deu_1996.txt.tra,udhr-deu_1901.txt.dev,7.440696275353955,3
udhr-deu_1996.txt.tra,udhr-deu_1996.txt.dev,7.440696275353955,3
udhr-eng.txt.tra,udhr-eng.txt.dev,6.331744537661905,3
udhr-hat_kreyol.txt.tra,udhr-hat_kreyol.txt.dev,9.038029235261831,3
udhr-hat_popular.txt.tra,udhr-hat_popular.txt.dev,8.170085735165305,3
udhr-hea.txt.tra,udhr-hea.txt.dev,8.231989780585712,3
udhr-hms.txt.tra,udhr-hms.txt.dev,5.396387107901222,3
udhr-hni.txt.tra,udhr-hni.txt.dev,6.145883019448342,3
udhr-ido.txt.tra,udhr-ido.txt.dev,8.751027447568822,3
udhr-kin.txt.tra,udhr-kin.txt.dev,5.775431184330343,3
udhr-koo.txt.tra,udhr-koo.txt.dev,5.464922685758052,3
udhr-kqn.txt.tra,udhr-kqn.txt.dev,5.730619908294182,3
udhr-kri.txt.tra,udhr-kri.txt.dev,7.539159251632781,3
udhr-lad.txt.tra,udhr-lad.txt.dev,6.962085239035345,3
udhr-lun.txt.tra,udhr-lun.txt.dev,5.835512003996703,3
udhr-min.txt.tra,udhr-min.txt.dev,7.264202523244029,3
udhr-mly_latn.txt.tra,udhr-mly_latn.txt.dev,6.685844191274829,3
udhr-nba.txt.tra,udhr-nba.txt.dev,5.544992218240998,3
udhr-nbl.txt.tra,udhr-nbl.txt.dev,9.121987505715618,3
udhr-ndo.txt.tra,udhr-ndo.txt.dev,7.357341919936304,3
udhr-nds.txt.tra,udhr-nds.txt.dev,6.893733482135736,3
udhr-njo.txt.tra,udhr-njo.txt.dev,6.546108888127675,3
udhr-nld.txt.tra,udhr-nld.txt.dev,9.57595697125736,3
udhr-nya_chechewa.txt.tra,udhr-nya_chechewa.txt.dev,8.005741367651103,3
udhr-nya_chinyanja.txt.tra,udhr-nya_chinyanja.txt.dev,6.749443922537876,3
udhr-nyn.txt.tra,udhr-nyn.txt.dev,7.0793715376089255,3
udhr-pcm.txt.tra,udhr-pcm.txt.dev,8.635694998333255,3
udhr-quy.txt.tra,udhr-quy.txt.dev,7.320562338574031,3
udhr-qvc.txt.tra,udhr-qvc.txt.dev,7.586891938235629,3
udhr-qxa.txt.tra,udhr-qxa.txt.dev,6.264635710188812,3
udhr-qxu.txt.tra,udhr-qxu.txt.dev,9.019510531533548,3
udhr-run.txt.tra,udhr-run.txt.dev,6.840086488313613,3
udhr-sco.txt.tra,udhr-sco.txt.dev,7.299502734256508,3
udhr-snk.txt.tra,udhr-snk.txt.dev,6.95052404604952,3
udhr-som.txt.tra,udhr-som.txt.dev,8.719855309074765,3
udhr-ssw.txt.tra,udhr-ssw.txt.dev,7.353664668876213,3
udhr-swh.txt.tra,udhr-swh.txt.dev,8.06428265729204,3
udhr-tiv.txt.tra,udhr-tiv.txt.dev,8.662444603685556,3
udhr-uig_latn.txt.tra,udhr-uig_latn.txt.dev,8.624202798762909,3
udhr-uzn_latn.txt.tra,udhr-uzn_latn.txt.dev,8.756720424919864,3
udhr-vmw.txt.tra,udhr-vmw.txt.dev,6.574288507682638,3
udhr-xho.txt.tra,udhr-xho.txt.dev,7.2214299686995576,3
udhr-xsm.txt.tra,udhr-xsm.txt.dev,12.445225256204372,3
udhr-yao.txt.tra,udhr-yao.txt.dev,6.325538439746654,3
udhr-ztu.txt.tra,udhr-ztu.txt.dev,7.558921402527215,3
udhr-zul.txt.tra,udhr-zul.txt.dev,9.031414025964853,3
