Training_file,Testing_file,Perplexity,N
udhr-ztu.txt.tra,udhr-als.txt.dev,1741.4125909750014,10
udhr-amc.txt.tra,udhr-amc.txt.dev,1567.069679058333,10
udhr-bcl.txt.tra,udhr-bcl.txt.dev,1283.731045977788,10
udhr-ztu.txt.tra,udhr-blu.txt.dev,1680.0625313656706,10
udhr-ztu.txt.tra,udhr-bre.txt.dev,1702.6373020516608,10
udhr-ztu.txt.tra,udhr-ccx.txt.dev,1687.7236846653543,10
udhr-cha.txt.tra,udhr-cha.txt.dev,1414.5229252559864,10
udhr-ztu.txt.tra,udhr-cjk.txt.dev,1691.5024986853302,10
udhr-cjk_AO.txt.tra,udhr-cjk_AO.txt.dev,1523.9029736986508,10
udhr-deu_1901.txt.tra,udhr-deu_1901.txt.dev,1649.559249291391,10
udhr-deu_1901.txt.tra,udhr-deu_1996.txt.dev,1649.559249291391,10
udhr-eng.txt.tra,udhr-eng.txt.dev,1492.0532811822104,10
udhr-hat_kreyol.txt.tra,udhr-hat_kreyol.txt.dev,1671.4212679776679,10
udhr-ztu.txt.tra,udhr-hat_popular.txt.dev,1747.6384855716021,10
udhr-hea.txt.tra,udhr-hea.txt.dev,1395.5606289971345,10
udhr-ztu.txt.tra,udhr-hms.txt.dev,1683.91051580955,10
udhr-ztu.txt.tra,udhr-hni.txt.dev,1695.2474107439805,10
udhr-ztu.txt.tra,udhr-ido.txt.dev,1687.7236846653543,10
udhr-kin.txt.tra,udhr-kin.txt.dev,1694.242747853054,10
udhr-koo.txt.tra,udhr-koo.txt.dev,1685.8633470926536,10
udhr-kqn.txt.tra,udhr-kqn.txt.dev,1275.0762414059966,10
udhr-ztu.txt.tra,udhr-kri.txt.dev,1776.0084933454912,10
udhr-lad.txt.tra,udhr-lad.txt.dev,1376.407646276865,10
udhr-lun.txt.tra,udhr-lun.txt.dev,1316.5130996139535,10
udhr-min.txt.tra,udhr-min.txt.dev,1638.2990175460511,10
udhr-mly_latn.txt.tra,udhr-mly_latn.txt.dev,1375.4748006186392,10
udhr-ztu.txt.tra,udhr-nba.txt.dev,1713.4787608169856,10
udhr-nbl.txt.tra,udhr-nbl.txt.dev,1407.3351216900655,10
udhr-ndo.txt.tra,udhr-ndo.txt.dev,1671.2761249501,10
udhr-ztu.txt.tra,udhr-nds.txt.dev,1668.304955318128,10
udhr-ztu.txt.tra,udhr-njo.txt.dev,1717.0293501999688,10
udhr-ztu.txt.tra,udhr-nld.txt.dev,1695.2474107439805,10
udhr-nya_chechewa.txt.tra,udhr-nya_chechewa.txt.dev,1494.93854024756,10
udhr-nya_chinyanja.txt.tra,udhr-nya_chinyanja.txt.dev,1365.1417660112745,10
udhr-nyn.txt.tra,udhr-nyn.txt.dev,1613.3568709787805,10
udhr-ztu.txt.tra,udhr-pcm.txt.dev,1622.2568496670046,10
udhr-quy.txt.tra,udhr-quy.txt.dev,1601.4846514250828,10
udhr-qvc.txt.tra,udhr-qvc.txt.dev,1706.6733526984515,10
udhr-ztu.txt.tra,udhr-qxa.txt.dev,1724.0381063889552,10
udhr-qxu.txt.tra,udhr-qxu.txt.dev,1367.072124748254,10
udhr-run.txt.tra,udhr-run.txt.dev,1457.9094148630388,10
udhr-sco.txt.tra,udhr-sco.txt.dev,1524.0662839113195,10
udhr-ztu.txt.tra,udhr-snk.txt.dev,1691.5024986853302,10
udhr-som.txt.tra,udhr-som.txt.dev,1634.8802550690073,10
udhr-ztu.txt.tra,udhr-ssw.txt.dev,1717.0293501999688,10
udhr-swh.txt.tra,udhr-swh.txt.dev,1444.0471302644532,10
udhr-ztu.txt.tra,udhr-tiv.txt.dev,1630.9918805868635,10
udhr-ztu.txt.tra,udhr-uig_latn.txt.dev,1744.3526511739062,10
udhr-uzn_latn.txt.tra,udhr-uzn_latn.txt.dev,1670.0652778156837,10
udhr-vmw.txt.tra,udhr-vmw.txt.dev,1263.19232311901,10
udhr-xho.txt.tra,udhr-xho.txt.dev,1731.2356731285338,10
udhr-xsm.txt.tra,udhr-xsm.txt.dev,1555.4124177276324,10
udhr-yao.txt.tra,udhr-yao.txt.dev,1662.9652064576157,10
udhr-ztu.txt.tra,udhr-ztu.txt.dev,1275.747123311185,10
udhr-zul.txt.tra,udhr-zul.txt.dev,1605.722949866185,10
