Training_file,Testing_file,Perplexity,N
udhr-amc.txt.tra,udhr-als.txt.dev,1.0,10
udhr-als.txt.tra,udhr-amc.txt.dev,1.0,10
udhr-als.txt.tra,udhr-bcl.txt.dev,1.0,10
udhr-amc.txt.tra,udhr-blu.txt.dev,1.0,10
udhr-als.txt.tra,udhr-bre.txt.dev,1.0,10
udhr-als.txt.tra,udhr-ccx.txt.dev,1.0,10
udhr-als.txt.tra,udhr-cha.txt.dev,1.0,10
udhr-als.txt.tra,udhr-cjk.txt.dev,1.0,10
udhr-als.txt.tra,udhr-cjk_AO.txt.dev,1.0,10
udhr-als.txt.tra,udhr-deu_1901.txt.dev,1.0,10
udhr-als.txt.tra,udhr-deu_1996.txt.dev,1.0,10
udhr-als.txt.tra,udhr-eng.txt.dev,1.0,10
udhr-amc.txt.tra,udhr-hat_kreyol.txt.dev,1.0,10
udhr-amc.txt.tra,udhr-hat_popular.txt.dev,1.0,10
udhr-als.txt.tra,udhr-hea.txt.dev,1.0,10
udhr-als.txt.tra,udhr-hms.txt.dev,1.0,10
udhr-als.txt.tra,udhr-hni.txt.dev,1.0,10
udhr-als.txt.tra,udhr-ido.txt.dev,1.0,10
udhr-als.txt.tra,udhr-kin.txt.dev,1.0,10
udhr-als.txt.tra,udhr-koo.txt.dev,1.0,10
udhr-als.txt.tra,udhr-kqn.txt.dev,1.0,10
udhr-als.txt.tra,udhr-kri.txt.dev,1.0,10
udhr-als.txt.tra,udhr-lad.txt.dev,1.0,10
udhr-amc.txt.tra,udhr-lun.txt.dev,1.0,10
udhr-als.txt.tra,udhr-min.txt.dev,1.0,10
udhr-amc.txt.tra,udhr-mly_latn.txt.dev,1.0,10
udhr-als.txt.tra,udhr-nba.txt.dev,1.0,10
udhr-als.txt.tra,udhr-nbl.txt.dev,1.0,10
udhr-als.txt.tra,udhr-ndo.txt.dev,1.0,10
udhr-als.txt.tra,udhr-nds.txt.dev,1.0,10
udhr-als.txt.tra,udhr-njo.txt.dev,1.0,10
udhr-als.txt.tra,udhr-nld.txt.dev,1.0,10
udhr-als.txt.tra,udhr-nya_chechewa.txt.dev,1.0,10
udhr-amc.txt.tra,udhr-nya_chinyanja.txt.dev,1.0,10
udhr-als.txt.tra,udhr-nyn.txt.dev,1.0,10
udhr-als.txt.tra,udhr-pcm.txt.dev,1.0,10
udhr-als.txt.tra,udhr-quy.txt.dev,1.0,10
udhr-als.txt.tra,udhr-qvc.txt.dev,1.0,10
udhr-als.txt.tra,udhr-qxa.txt.dev,1.0,10
udhr-als.txt.tra,udhr-qxu.txt.dev,1.0,10
udhr-als.txt.tra,udhr-run.txt.dev,1.0,10
udhr-als.txt.tra,udhr-sco.txt.dev,1.0,10
udhr-als.txt.tra,udhr-snk.txt.dev,1.0,10
udhr-als.txt.tra,udhr-som.txt.dev,1.0,10
udhr-als.txt.tra,udhr-ssw.txt.dev,1.0,10
udhr-als.txt.tra,udhr-swh.txt.dev,1.0,10
udhr-als.txt.tra,udhr-tiv.txt.dev,1.0,10
udhr-als.txt.tra,udhr-uig_latn.txt.dev,1.0,10
udhr-als.txt.tra,udhr-uzn_latn.txt.dev,1.0,10
udhr-als.txt.tra,udhr-vmw.txt.dev,1.0,10
udhr-als.txt.tra,udhr-xho.txt.dev,1.0,10
udhr-als.txt.tra,udhr-xsm.txt.dev,1.0,10
udhr-als.txt.tra,udhr-yao.txt.dev,1.0,10
udhr-als.txt.tra,udhr-ztu.txt.dev,1.0,10
udhr-als.txt.tra,udhr-zul.txt.dev,1.0,10
